ndvi,spc_fitted,spc_lower_95,spc_upper_95
0.42953108,38.99639007,35.43571818,42.55706195
0.43161604,39.19133837,35.61025993,42.77241680
0.43370099,39.38663201,35.78384072,42.98942329
0.43578595,39.58226535,35.95646730,43.20806340
0.43787091,39.77823271,36.12814791,43.42831751
0.43995586,39.97452835,36.29889220,43.65016451
0.44204082,40.17114651,36.46871115,43.87358188
0.44412578,40.36808137,36.63761695,44.09854580
0.44621073,40.56532709,36.80562293,44.32503125
0.44829569,40.76287777,36.97274345,44.55301209
0.45038065,40.96072749,37.13899381,44.78246116
0.45246560,41.15887027,37.30439014,45.01335039
0.45455056,41.35730012,37.46894934,45.24565089
0.45663551,41.55601099,37.63268893,45.47933304
0.45872047,41.75499680,37.79562703,45.71436658
0.46080543,41.95425145,37.95778222,45.95072068
0.46289038,42.15376879,38.11917349,46.18836408
0.46497534,42.35354263,38.27982016,46.42726511
0.46706030,42.55356677,38.43974178,46.66739176
0.46914525,42.75383496,38.59895809,46.90871182
0.47123021,42.95434091,38.75748894,47.15119287
0.47331516,43.15507832,38.91535425,47.39480240
0.47540012,43.35604086,39.07257392,47.63950780
0.47748508,43.55722215,39.22916780,47.88527650
0.47957003,43.75861580,39.38515567,48.13207593
0.48165499,43.96021538,39.54055714,48.37987362
0.48373995,44.16201445,39.69539167,48.62863723
0.48582490,44.36400652,39.84967847,48.87833456
0.48790986,44.56618509,40.00343656,49.12893361
0.48999481,44.76854363,40.15668466,49.38040261
0.49207977,44.97107560,40.30944120,49.63271001
0.49416473,45.17377442,40.46172431,49.88582453
0.49624968,45.37663349,40.61355180,50.13971519
0.49833464,45.57964620,40.76494112,50.39435128
0.50041960,45.78280591,40.91590938,50.64970244
0.50250455,45.98610596,41.06647332,50.90573861
0.50458951,46.18953968,41.21664931,51.16243006
0.50667447,46.39310038,41.36645334,51.41974741
0.50875942,46.59678133,41.51590104,51.67766162
0.51084438,46.80057582,41.66500764,51.93614401
0.51292933,47.00447711,41.81378799,52.19516624
0.51501429,47.20847845,41.96225655,52.45470034
0.51709925,47.41257305,42.11042742,52.71471867
0.51918420,47.61675414,42.25831431,52.97519398
0.52126916,47.82101493,42.40593054,53.23609933
0.52335412,48.02534862,42.55328908,53.49740815
0.52543907,48.22974839,42.70040254,53.75909423
0.52752403,48.43420741,42.84728313,54.02113169
0.52960898,48.63871887,42.99394275,54.28349499
0.53169394,48.84327592,43.14039292,54.54615892
0.53377890,49.04787171,43.28664482,54.80909861
0.53586385,49.25249941,43.43270931,55.07228951
0.53794881,49.45715216,43.57859690,55.33570741
0.54003377,49.66182310,43.72431780,55.59932840
0.54211872,49.86650537,43.86988187,55.86312887
0.54420368,50.07119212,44.01529870,56.12708553
0.54628864,50.27587648,44.16057755,56.39117541
0.54837359,50.48055159,44.30572740,56.65537579
0.55045855,50.68521061,44.45075693,56.91966428
