"Metric","Site","Cells","Valid_cells","Missing_cells","Mean","SD","Min","Q1","Median","Q3","Max"
"Elevation","Stable",10,10,0,-0.117606031894684,0.0549035807732647,-0.189441367983818,-0.155620984733105,-0.121528416872025,-0.078919505700469,-0.0343712493777275
"Stability","Stable",10,10,0,81.515153503418,2.23595458348814,78.7878799438477,79.5454559326172,81.8181838989258,81.8181838989258,84.8484878540039
"Elevation","Unstable",13,13,0,-0.100361564984688,0.0381352357033995,-0.158249333500862,-0.133180230855942,-0.0977024734020233,-0.0725108161568642,-0.038085300475359
"Stability","Unstable",13,13,0,34.9650347783015,8.17015480631891,21.212121963501,30.3030300140381,33.3333320617676,42.424243927002,48.4848480224609
