"Metric","Source","Resolution_x","Resolution_y","CRS","Raster_min","Raster_max"
"Stability","Freq_above_50.tif",19.9,19.9,"+proj=lcc +lat_0=46.5 +lon_0=3 +lat_1=49 +lat_2=44 +x_0=700000 +y_0=6600000 +ellps=GRS80 +towgs84=0,0,0,0,0,0,0 +units=m +no_defs",0,90.9090881347656
"Elevation","Bathy_meadow_cropped.tif",19.9,19.9,"+proj=lcc +lat_0=46.5 +lon_0=3 +lat_1=49 +lat_2=44 +x_0=700000 +y_0=6600000 +ellps=GRS80 +towgs84=0,0,0,0,0,0,0 +units=m +no_defs",-53523.58203125,1.00157642364502
