"Model","Rhat_max","ESS_bulk_min","ESS_tail_min","Divergences","Treedepth_hits"
"leaf",1.00261309370827,2592.95505785127,2368.08578373376,0,0
"richness_all",1.00072414645865,5109.37615153237,5472.12770466799,0,0
"shannon_all",1.00075598681698,4277.80621937468,4430.28454553836,0,0
"richness_other",1.00072288086738,5130.20384960791,6009.46045165294,0,0
"shannon_other",1.00200757077374,3707.94503822317,5187.30377082609,0,0
"loripes",1.00097667896654,2697.52157890811,4314.33098079686,0,0
