sample_id,station,core_code,treatment,meadow,period,ndvi_mean,ndvi_sd,ndvi_n_pixels,ndvi_raster
5NS,5,N,Control,Stable,2026-07-01,0.25571459,0.07872382,279,Data/MS_DRONE/REWRITE_Jim_25062026_Stable/Stable_072026_NDVI.tif
6AS,6,A,Treatment,Stable,2026-07-01,0.33123966,0.08283527,276,Data/MS_DRONE/REWRITE_Jim_25062026_Stable/Stable_072026_NDVI.tif
6NS,6,N,Control,Stable,2026-07-01,0.33107685,0.11281982,282,Data/MS_DRONE/REWRITE_Jim_25062026_Stable/Stable_072026_NDVI.tif
1AU,1,A,Treatment,Unstable,2026-07-01,0.37011025,0.10929494,265,Data/MS_DRONE/REWRITE_Jim_25062026_Unstable/Unstable_072026_NDVI.tif
1NU,1,N,Control,Unstable,2026-07-01,0.19134894,0.07393173,264,Data/MS_DRONE/REWRITE_Jim_25062026_Unstable/Unstable_072026_NDVI.tif
2AU,2,A,Treatment,Unstable,2026-07-01,0.37976402,0.07494436,267,Data/MS_DRONE/REWRITE_Jim_25062026_Unstable/Unstable_072026_NDVI.tif
2NU,2,N,Control,Unstable,2026-07-01,0.21341026,0.07322913,266,Data/MS_DRONE/REWRITE_Jim_25062026_Unstable/Unstable_072026_NDVI.tif
3AU,3,A,Treatment,Unstable,2026-07-01,0.20393790,0.06796479,268,Data/MS_DRONE/REWRITE_Jim_25062026_Unstable/Unstable_072026_NDVI.tif
3NU,3,N,Control,Unstable,2026-07-01,0.26898726,0.08768461,264,Data/MS_DRONE/REWRITE_Jim_25062026_Unstable/Unstable_072026_NDVI.tif
4AU,4,A,Treatment,Unstable,2026-07-01,0.29296316,0.09117232,269,Data/MS_DRONE/REWRITE_Jim_25062026_Unstable/Unstable_072026_NDVI.tif
4NU,4,N,Control,Unstable,2026-07-01,0.23969331,0.07024645,266,Data/MS_DRONE/REWRITE_Jim_25062026_Unstable/Unstable_072026_NDVI.tif
5AU,5,A,Treatment,Unstable,2026-07-01,0.23121053,0.06819051,266,Data/MS_DRONE/REWRITE_Jim_25062026_Unstable/Unstable_072026_NDVI.tif
5NU,5,N,Control,Unstable,2026-07-01,0.28159786,0.07150732,264,Data/MS_DRONE/REWRITE_Jim_25062026_Unstable/Unstable_072026_NDVI.tif
6AU,6,A,Treatment,Unstable,2026-07-01,0.35492727,0.06702965,267,Data/MS_DRONE/REWRITE_Jim_25062026_Unstable/Unstable_072026_NDVI.tif
6NU,6,N,Control,Unstable,2026-07-01,0.26398294,0.07485259,266,Data/MS_DRONE/REWRITE_Jim_25062026_Unstable/Unstable_072026_NDVI.tif
1AS,1,A,Treatment,Stable,2026-08-01,0.19938434,0.07786147,273,Data/MS_DRONE/REWRITE_Jim_27082026_Stable/Stable_082026_NDVI.tif
1NS,1,N,Control,Stable,2026-08-01,0.32215450,0.03859582,270,Data/MS_DRONE/REWRITE_Jim_27082026_Stable/Stable_082026_NDVI.tif
2AS,2,A,Treatment,Stable,2026-08-01,0.37718854,0.07600007,268,Data/MS_DRONE/REWRITE_Jim_27082026_Stable/Stable_082026_NDVI.tif
2NS,2,N,Control,Stable,2026-08-01,0.21897097,0.06099251,270,Data/MS_DRONE/REWRITE_Jim_27082026_Stable/Stable_082026_NDVI.tif
3AS,3,A,Treatment,Stable,2026-08-01,0.45594779,0.07672630,271,Data/MS_DRONE/REWRITE_Jim_27082026_Stable/Stable_082026_NDVI.tif
3NS,3,N,Control,Stable,2026-08-01,0.44602221,0.07405422,268,Data/MS_DRONE/REWRITE_Jim_27082026_Stable/Stable_082026_NDVI.tif
4AS,4,A,Treatment,Stable,2026-08-01,0.46440041,0.07295256,269,Data/MS_DRONE/REWRITE_Jim_27082026_Stable/Stable_082026_NDVI.tif
4NS,4,N,Control,Stable,2026-08-01,0.42738549,0.05873995,273,Data/MS_DRONE/REWRITE_Jim_27082026_Stable/Stable_082026_NDVI.tif
5AS,5,A,Treatment,Stable,2026-08-01,0.44349132,0.07513172,268,Data/MS_DRONE/REWRITE_Jim_27082026_Stable/Stable_082026_NDVI.tif
5NS,5,N,Control,Stable,2026-08-01,0.22802870,0.05677901,269,Data/MS_DRONE/REWRITE_Jim_27082026_Stable/Stable_082026_NDVI.tif
6AS,6,A,Treatment,Stable,2026-08-01,0.37834610,0.07097597,268,Data/MS_DRONE/REWRITE_Jim_27082026_Stable/Stable_082026_NDVI.tif
6NS,6,N,Control,Stable,2026-08-01,0.39572202,0.07463456,270,Data/MS_DRONE/REWRITE_Jim_27082026_Stable/Stable_082026_NDVI.tif
1AU,1,A,Treatment,Unstable,2026-08-01,0.16432487,0.03217646,249,Data/MS_DRONE/REWRITE_Jim_27082026_Unstable/Unstable_082026_NDVI.tif
1NU,1,N,Control,Unstable,2026-08-01,0.37286687,0.08975813,246,Data/MS_DRONE/REWRITE_Jim_27082026_Unstable/Unstable_082026_NDVI.tif
2AU,2,A,Treatment,Unstable,2026-08-01,0.43596115,0.07293871,247,Data/MS_DRONE/REWRITE_Jim_27082026_Unstable/Unstable_082026_NDVI.tif
2NU,2,N,Control,Unstable,2026-08-01,0.36835457,0.11807935,247,Data/MS_DRONE/REWRITE_Jim_27082026_Unstable/Unstable_082026_NDVI.tif
3AU,3,A,Treatment,Unstable,2026-08-01,0.25542572,0.08163539,252,Data/MS_DRONE/REWRITE_Jim_27082026_Unstable/Unstable_082026_NDVI.tif
3NU,3,N,Control,Unstable,2026-08-01,0.33041419,0.07860596,249,Data/MS_DRONE/REWRITE_Jim_27082026_Unstable/Unstable_082026_NDVI.tif
4AU,4,A,Treatment,Unstable,2026-08-01,0.37991046,0.08314853,248,Data/MS_DRONE/REWRITE_Jim_27082026_Unstable/Unstable_082026_NDVI.tif
4NU,4,N,Control,Unstable,2026-08-01,0.30539456,0.06267531,247,Data/MS_DRONE/REWRITE_Jim_27082026_Unstable/Unstable_082026_NDVI.tif
5AU,5,A,Treatment,Unstable,2026-08-01,0.16297115,0.06571612,247,Data/MS_DRONE/REWRITE_Jim_27082026_Unstable/Unstable_082026_NDVI.tif
